episode_id,protocol_tag,definition,w,k,theta_label,theta_usd,generation_lag_blocks,is_primary,start_block,end_block,start_time,end_time,total_liquidated_usd,num_positions,num_accounts,max_generations,severity_usd
aave_v2_w50_k5_p99_12422642_12422708,aave_v2,D-A,50,5,p99,13658029.577355182,20,False,12422642,12422708,2021-05-12 23:56:21+00:00,2021-05-13 00:09:25+00:00,19988343.960845545,21,19,2,19988343.960845545
aave_v2_w50_k5_p99_12464529_12464579,aave_v2,D-A,50,5,p99,13658029.577355182,20,False,12464529,12464579,2021-05-19 11:25:58+00:00,2021-05-19 11:39:17+00:00,18757766.520720743,43,35,2,18757766.520720743
aave_v2_w50_k5_p99_12464854_12464978,aave_v2,D-A,50,5,p99,13658029.577355182,20,False,12464854,12464978,2021-05-19 12:37:19+00:00,2021-05-19 13:04:33+00:00,42134771.013388015,96,87,3,42134771.013388015
aave_v2_w50_k5_p99_12465003_12465073,aave_v2,D-A,50,5,p99,13658029.577355182,20,False,12465003,12465073,2021-05-19 13:09:13+00:00,2021-05-19 13:23:58+00:00,27391397.851419177,53,52,2,27391397.851419177
aave_v2_w50_k5_p99_12465239_12465290,aave_v2,D-A,50,5,p99,13658029.577355182,20,False,12465239,12465290,2021-05-19 14:00:01+00:00,2021-05-19 14:12:26+00:00,16220748.056390777,43,38,2,16220748.056390777
aave_v2_w50_k5_p99_12468085_12468144,aave_v2,D-A,50,5,p99,13658029.577355182,20,False,12468085,12468144,2021-05-20 00:43:19+00:00,2021-05-20 00:57:00+00:00,22263142.603043847,73,65,2,22263142.603043847
aave_v2_w50_k5_p99_13179333_13179387,aave_v2,D-A,50,5,p99,13658029.577355182,20,False,13179333,13179387,2021-09-07 15:03:18+00:00,2021-09-07 15:16:30+00:00,15489063.635929085,37,34,2,15489063.635929085
aave_v2_w50_k5_p99_13737997_13738100,aave_v2,D-A,50,5,p99,13658029.577355182,20,False,13737997,13738100,2021-12-04 05:19:52+00:00,2021-12-04 05:46:09+00:00,31663358.586780608,140,126,3,31663358.586780608
aave_v2_w50_k5_p99_14959206_14959345,aave_v2,D-A,50,5,p99,13658029.577355182,20,False,14959206,14959345,2022-06-14 01:42:43+00:00,2022-06-14 02:18:03+00:00,48428203.79408447,184,178,5,48428203.79408447
aave_v2_w50_k5_p99_20458971_20459017,aave_v2,D-A,50,5,p99,13658029.577355182,20,False,20458971,20459017,2024-08-05 01:06:47+00:00,2024-08-05 01:15:59+00:00,13834708.339319933,46,39,2,13834708.339319933
aave_v2_w50_k10_p99_12422642_12422708,aave_v2,D-A,50,10,p99,13658029.577355182,20,False,12422642,12422708,2021-05-12 23:56:21+00:00,2021-05-13 00:09:25+00:00,19988343.960845545,21,19,2,19988343.960845545
aave_v2_w50_k10_p99_12464529_12464579,aave_v2,D-A,50,10,p99,13658029.577355182,20,False,12464529,12464579,2021-05-19 11:25:58+00:00,2021-05-19 11:39:17+00:00,18757766.520720743,43,35,2,18757766.520720743
aave_v2_w50_k10_p99_12464854_12464978,aave_v2,D-A,50,10,p99,13658029.577355182,20,False,12464854,12464978,2021-05-19 12:37:19+00:00,2021-05-19 13:04:33+00:00,42134771.013388015,96,87,3,42134771.013388015
aave_v2_w50_k10_p99_12465003_12465073,aave_v2,D-A,50,10,p99,13658029.577355182,20,False,12465003,12465073,2021-05-19 13:09:13+00:00,2021-05-19 13:23:58+00:00,27391397.851419177,53,52,2,27391397.851419177
aave_v2_w50_k10_p99_12465239_12465290,aave_v2,D-A,50,10,p99,13658029.577355182,20,False,12465239,12465290,2021-05-19 14:00:01+00:00,2021-05-19 14:12:26+00:00,16220748.056390777,43,38,2,16220748.056390777
aave_v2_w50_k10_p99_12468085_12468144,aave_v2,D-A,50,10,p99,13658029.577355182,20,False,12468085,12468144,2021-05-20 00:43:19+00:00,2021-05-20 00:57:00+00:00,22263142.603043847,73,65,2,22263142.603043847
aave_v2_w50_k10_p99_13179333_13179387,aave_v2,D-A,50,10,p99,13658029.577355182,20,False,13179333,13179387,2021-09-07 15:03:18+00:00,2021-09-07 15:16:30+00:00,15489063.635929085,37,34,2,15489063.635929085
aave_v2_w50_k10_p99_13737997_13738100,aave_v2,D-A,50,10,p99,13658029.577355182,20,False,13737997,13738100,2021-12-04 05:19:52+00:00,2021-12-04 05:46:09+00:00,31663358.586780608,140,126,3,31663358.586780608
aave_v2_w50_k10_p99_14959206_14959345,aave_v2,D-A,50,10,p99,13658029.577355182,20,False,14959206,14959345,2022-06-14 01:42:43+00:00,2022-06-14 02:18:03+00:00,48428203.79408447,184,178,5,48428203.79408447
aave_v2_w50_k10_p99_20458971_20459017,aave_v2,D-A,50,10,p99,13658029.577355182,20,False,20458971,20459017,2024-08-05 01:06:47+00:00,2024-08-05 01:15:59+00:00,13834708.339319933,46,39,2,13834708.339319933
aave_v2_w50_k20_p99_12464529_12464579,aave_v2,D-A,50,20,p99,13658029.577355182,20,False,12464529,12464579,2021-05-19 11:25:58+00:00,2021-05-19 11:39:17+00:00,18757766.520720743,43,35,2,18757766.520720743
aave_v2_w50_k20_p99_12464854_12464978,aave_v2,D-A,50,20,p99,13658029.577355182,20,False,12464854,12464978,2021-05-19 12:37:19+00:00,2021-05-19 13:04:33+00:00,42134771.013388015,96,87,3,42134771.013388015
aave_v2_w50_k20_p99_12465003_12465073,aave_v2,D-A,50,20,p99,13658029.577355182,20,False,12465003,12465073,2021-05-19 13:09:13+00:00,2021-05-19 13:23:58+00:00,27391397.851419177,53,52,2,27391397.851419177
aave_v2_w50_k20_p99_12465239_12465290,aave_v2,D-A,50,20,p99,13658029.577355182,20,False,12465239,12465290,2021-05-19 14:00:01+00:00,2021-05-19 14:12:26+00:00,16220748.056390777,43,38,2,16220748.056390777
aave_v2_w50_k20_p99_12468085_12468144,aave_v2,D-A,50,20,p99,13658029.577355182,20,False,12468085,12468144,2021-05-20 00:43:19+00:00,2021-05-20 00:57:00+00:00,22263142.603043847,73,65,2,22263142.603043847
aave_v2_w50_k20_p99_13179333_13179387,aave_v2,D-A,50,20,p99,13658029.577355182,20,False,13179333,13179387,2021-09-07 15:03:18+00:00,2021-09-07 15:16:30+00:00,15489063.635929085,37,34,2,15489063.635929085
aave_v2_w50_k20_p99_13737997_13738100,aave_v2,D-A,50,20,p99,13658029.577355182,20,False,13737997,13738100,2021-12-04 05:19:52+00:00,2021-12-04 05:46:09+00:00,31663358.586780608,140,126,3,31663358.586780608
aave_v2_w50_k20_p99_14959206_14959345,aave_v2,D-A,50,20,p99,13658029.577355182,20,False,14959206,14959345,2022-06-14 01:42:43+00:00,2022-06-14 02:18:03+00:00,48428203.79408447,184,178,5,48428203.79408447
aave_v2_w50_k20_p99_20458971_20459017,aave_v2,D-A,50,20,p99,13658029.577355182,20,False,20458971,20459017,2024-08-05 01:06:47+00:00,2024-08-05 01:15:59+00:00,13834708.339319933,46,39,2,13834708.339319933
aave_v2_w50_k5_p99.5_12464530_12464579,aave_v2,D-A,50,5,p99.5,17991865.58819468,20,False,12464530,12464579,2021-05-19 11:26:05+00:00,2021-05-19 11:39:17+00:00,17996062.069315244,42,34,2,17996062.069315244
aave_v2_w50_k5_p99.5_12464857_12464969,aave_v2,D-A,50,5,p99.5,17991865.58819468,20,False,12464857,12464969,2021-05-19 12:37:44+00:00,2021-05-19 13:02:37+00:00,41467465.4450642,91,82,3,41467465.4450642
aave_v2_w50_k5_p99.5_12465003_12465062,aave_v2,D-A,50,5,p99.5,17991865.58819468,20,False,12465003,12465062,2021-05-19 13:09:13+00:00,2021-05-19 13:22:17+00:00,27043130.12937178,51,50,2,27043130.12937178
aave_v2_w50_k5_p99.5_12468085_12468144,aave_v2,D-A,50,5,p99.5,17991865.58819468,20,False,12468085,12468144,2021-05-20 00:43:19+00:00,2021-05-20 00:57:00+00:00,22263142.603043847,73,65,2,22263142.603043847
aave_v2_w50_k5_p99.5_13738010_13738087,aave_v2,D-A,50,5,p99.5,17991865.58819468,20,False,13738010,13738087,2021-12-04 05:24:27+00:00,2021-12-04 05:44:01+00:00,29410254.18596838,116,104,2,29410254.18596838
aave_v2_w50_k5_p99.5_14959208_14959327,aave_v2,D-A,50,5,p99.5,17991865.58819468,20,False,14959208,14959327,2022-06-14 01:43:18+00:00,2022-06-14 02:12:58+00:00,48044417.14181726,167,162,4,48044417.14181726
aave_v2_w50_k10_p99.5_12464530_12464579,aave_v2,D-A,50,10,p99.5,17991865.58819468,20,False,12464530,12464579,2021-05-19 11:26:05+00:00,2021-05-19 11:39:17+00:00,17996062.069315244,42,34,2,17996062.069315244
aave_v2_w50_k10_p99.5_12464857_12464969,aave_v2,D-A,50,10,p99.5,17991865.58819468,20,False,12464857,12464969,2021-05-19 12:37:44+00:00,2021-05-19 13:02:37+00:00,41467465.4450642,91,82,3,41467465.4450642
aave_v2_w50_k10_p99.5_12465003_12465062,aave_v2,D-A,50,10,p99.5,17991865.58819468,20,False,12465003,12465062,2021-05-19 13:09:13+00:00,2021-05-19 13:22:17+00:00,27043130.12937178,51,50,2,27043130.12937178
aave_v2_w50_k10_p99.5_12468085_12468144,aave_v2,D-A,50,10,p99.5,17991865.58819468,20,False,12468085,12468144,2021-05-20 00:43:19+00:00,2021-05-20 00:57:00+00:00,22263142.603043847,73,65,2,22263142.603043847
aave_v2_w50_k10_p99.5_13738010_13738087,aave_v2,D-A,50,10,p99.5,17991865.58819468,20,False,13738010,13738087,2021-12-04 05:24:27+00:00,2021-12-04 05:44:01+00:00,29410254.18596838,116,104,2,29410254.18596838
aave_v2_w50_k10_p99.5_14959208_14959327,aave_v2,D-A,50,10,p99.5,17991865.58819468,20,False,14959208,14959327,2022-06-14 01:43:18+00:00,2022-06-14 02:12:58+00:00,48044417.14181726,167,162,4,48044417.14181726
aave_v2_w50_k20_p99.5_12464530_12464579,aave_v2,D-A,50,20,p99.5,17991865.58819468,20,False,12464530,12464579,2021-05-19 11:26:05+00:00,2021-05-19 11:39:17+00:00,17996062.069315244,42,34,2,17996062.069315244
aave_v2_w50_k20_p99.5_12464857_12464969,aave_v2,D-A,50,20,p99.5,17991865.58819468,20,False,12464857,12464969,2021-05-19 12:37:44+00:00,2021-05-19 13:02:37+00:00,41467465.4450642,91,82,3,41467465.4450642
aave_v2_w50_k20_p99.5_12465003_12465062,aave_v2,D-A,50,20,p99.5,17991865.58819468,20,False,12465003,12465062,2021-05-19 13:09:13+00:00,2021-05-19 13:22:17+00:00,27043130.12937178,51,50,2,27043130.12937178
aave_v2_w50_k20_p99.5_12468085_12468144,aave_v2,D-A,50,20,p99.5,17991865.58819468,20,False,12468085,12468144,2021-05-20 00:43:19+00:00,2021-05-20 00:57:00+00:00,22263142.603043847,73,65,2,22263142.603043847
aave_v2_w50_k20_p99.5_13738010_13738087,aave_v2,D-A,50,20,p99.5,17991865.58819468,20,False,13738010,13738087,2021-12-04 05:24:27+00:00,2021-12-04 05:44:01+00:00,29410254.18596838,116,104,2,29410254.18596838
aave_v2_w50_k20_p99.5_14959208_14959327,aave_v2,D-A,50,20,p99.5,17991865.58819468,20,False,14959208,14959327,2022-06-14 01:43:18+00:00,2022-06-14 02:12:58+00:00,48044417.14181726,167,162,4,48044417.14181726
aave_v2_w50_k5_p99.9_14959241_14959319,aave_v2,D-A,50,5,p99.9,29351442.14964052,20,False,14959241,14959319,2022-06-14 01:52:56+00:00,2022-06-14 02:11:03+00:00,44153992.52390824,99,97,3,44153992.52390824
aave_v2_w50_k10_p99.9_14959241_14959319,aave_v2,D-A,50,10,p99.9,29351442.14964052,20,False,14959241,14959319,2022-06-14 01:52:56+00:00,2022-06-14 02:11:03+00:00,44153992.52390824,99,97,3,44153992.52390824
aave_v2_w50_k20_p99.9_14959241_14959319,aave_v2,D-A,50,20,p99.9,29351442.14964052,20,False,14959241,14959319,2022-06-14 01:52:56+00:00,2022-06-14 02:11:03+00:00,44153992.52390824,99,97,3,44153992.52390824
aave_v2_w100_k5_p99_12464481_12464613,aave_v2,D-A,100,5,p99,23581645.454292476,20,False,12464481,12464613,2021-05-19 11:15:15+00:00,2021-05-19 11:45:21+00:00,26567532.69623629,83,74,2,26567532.69623629
aave_v2_w100_k5_p99_12464836_12465111,aave_v2,D-A,100,5,p99,23581645.454292476,20,False,12464836,12465111,2021-05-19 12:32:52+00:00,2021-05-19 13:32:04+00:00,77812431.17552555,172,155,5,77812431.17552555
aave_v2_w100_k5_p99_12468036_12468159,aave_v2,D-A,100,5,p99,23581645.454292476,20,False,12468036,12468159,2021-05-20 00:31:29+00:00,2021-05-20 01:03:02+00:00,29239691.17197842,132,111,2,29239691.17197842
aave_v2_w100_k5_p99_13179283_13179387,aave_v2,D-A,100,5,p99,23581645.454292476,20,False,13179283,13179387,2021-09-07 14:55:59+00:00,2021-09-07 15:16:30+00:00,24980253.881252244,50,44,3,24980253.881252244
aave_v2_w100_k5_p99_13737961_13738125,aave_v2,D-A,100,5,p99,23581645.454292476,20,False,13737961,13738125,2021-12-04 05:12:43+00:00,2021-12-04 05:51:56+00:00,33153173.443200544,160,144,4,33153173.443200544
aave_v2_w100_k5_p99_14959193_14959384,aave_v2,D-A,100,5,p99,23581645.454292476,20,False,14959193,14959384,2022-06-14 01:40:22+00:00,2022-06-14 02:28:13+00:00,49462380.63881563,253,244,5,49462380.63881563
aave_v2_w100_k10_p99_12464481_12464613,aave_v2,D-A,100,10,p99,23581645.454292476,20,False,12464481,12464613,2021-05-19 11:15:15+00:00,2021-05-19 11:45:21+00:00,26567532.69623629,83,74,2,26567532.69623629
aave_v2_w100_k10_p99_12464836_12465111,aave_v2,D-A,100,10,p99,23581645.454292476,20,False,12464836,12465111,2021-05-19 12:32:52+00:00,2021-05-19 13:32:04+00:00,77812431.17552555,172,155,5,77812431.17552555
aave_v2_w100_k10_p99_12468036_12468159,aave_v2,D-A,100,10,p99,23581645.454292476,20,False,12468036,12468159,2021-05-20 00:31:29+00:00,2021-05-20 01:03:02+00:00,29239691.17197842,132,111,2,29239691.17197842
aave_v2_w100_k10_p99_13179283_13179387,aave_v2,D-A,100,10,p99,23581645.454292476,20,False,13179283,13179387,2021-09-07 14:55:59+00:00,2021-09-07 15:16:30+00:00,24980253.881252244,50,44,3,24980253.881252244
aave_v2_w100_k10_p99_13737961_13738125,aave_v2,D-A,100,10,p99,23581645.454292476,20,False,13737961,13738125,2021-12-04 05:12:43+00:00,2021-12-04 05:51:56+00:00,33153173.443200544,160,144,4,33153173.443200544
aave_v2_w100_k10_p99_14959193_14959384,aave_v2,D-A,100,10,p99,23581645.454292476,20,False,14959193,14959384,2022-06-14 01:40:22+00:00,2022-06-14 02:28:13+00:00,49462380.63881563,253,244,5,49462380.63881563
aave_v2_w100_k20_p99_12464481_12464613,aave_v2,D-A,100,20,p99,23581645.454292476,20,False,12464481,12464613,2021-05-19 11:15:15+00:00,2021-05-19 11:45:21+00:00,26567532.69623629,83,74,2,26567532.69623629
aave_v2_w100_k20_p99_12464836_12465111,aave_v2,D-A,100,20,p99,23581645.454292476,20,False,12464836,12465111,2021-05-19 12:32:52+00:00,2021-05-19 13:32:04+00:00,77812431.17552555,172,155,5,77812431.17552555
aave_v2_w100_k20_p99_12468036_12468159,aave_v2,D-A,100,20,p99,23581645.454292476,20,False,12468036,12468159,2021-05-20 00:31:29+00:00,2021-05-20 01:03:02+00:00,29239691.17197842,132,111,2,29239691.17197842
aave_v2_w100_k20_p99_13179283_13179387,aave_v2,D-A,100,20,p99,23581645.454292476,20,False,13179283,13179387,2021-09-07 14:55:59+00:00,2021-09-07 15:16:30+00:00,24980253.881252244,50,44,3,24980253.881252244
aave_v2_w100_k20_p99_13737961_13738125,aave_v2,D-A,100,20,p99,23581645.454292476,20,False,13737961,13738125,2021-12-04 05:12:43+00:00,2021-12-04 05:51:56+00:00,33153173.443200544,160,144,4,33153173.443200544
aave_v2_w100_k20_p99_14959193_14959384,aave_v2,D-A,100,20,p99,23581645.454292476,20,False,14959193,14959384,2022-06-14 01:40:22+00:00,2022-06-14 02:28:13+00:00,49462380.63881563,253,244,5,49462380.63881563
aave_v2_w100_k5_p99.5_12464836_12465111,aave_v2,D-A,100,5,p99.5,29940420.345507156,20,False,12464836,12465111,2021-05-19 12:32:52+00:00,2021-05-19 13:32:04+00:00,77812431.17552555,172,155,5,77812431.17552555
aave_v2_w100_k5_p99.5_13737970_13738093,aave_v2,D-A,100,5,p99.5,29940420.345507156,20,False,13737970,13738093,2021-12-04 05:14:05+00:00,2021-12-04 05:44:43+00:00,32713111.868608944,141,125,3,32713111.868608944
aave_v2_w100_k5_p99.5_14959193_14959355,aave_v2,D-A,100,5,p99.5,29940420.345507156,20,False,14959193,14959355,2022-06-14 01:40:22+00:00,2022-06-14 02:19:40+00:00,49378309.59151435,222,214,5,49378309.59151435
aave_v2_w100_k10_p99.5_12464836_12465111,aave_v2,D-A,100,10,p99.5,29940420.345507156,20,True,12464836,12465111,2021-05-19 12:32:52+00:00,2021-05-19 13:32:04+00:00,77812431.17552555,172,155,5,77812431.17552555
aave_v2_w100_k10_p99.5_13737970_13738093,aave_v2,D-A,100,10,p99.5,29940420.345507156,20,True,13737970,13738093,2021-12-04 05:14:05+00:00,2021-12-04 05:44:43+00:00,32713111.868608944,141,125,3,32713111.868608944
aave_v2_w100_k10_p99.5_14959193_14959355,aave_v2,D-A,100,10,p99.5,29940420.345507156,20,True,14959193,14959355,2022-06-14 01:40:22+00:00,2022-06-14 02:19:40+00:00,49378309.59151435,222,214,5,49378309.59151435
aave_v2_w100_k20_p99.5_12464836_12465111,aave_v2,D-A,100,20,p99.5,29940420.345507156,20,False,12464836,12465111,2021-05-19 12:32:52+00:00,2021-05-19 13:32:04+00:00,77812431.17552555,172,155,5,77812431.17552555
aave_v2_w100_k20_p99.5_13737970_13738093,aave_v2,D-A,100,20,p99.5,29940420.345507156,20,False,13737970,13738093,2021-12-04 05:14:05+00:00,2021-12-04 05:44:43+00:00,32713111.868608944,141,125,3,32713111.868608944
aave_v2_w100_k20_p99.5_14959193_14959355,aave_v2,D-A,100,20,p99.5,29940420.345507156,20,False,14959193,14959355,2022-06-14 01:40:22+00:00,2022-06-14 02:19:40+00:00,49378309.59151435,222,214,5,49378309.59151435
aave_v2_w100_k5_p99.9_14959206_14959318,aave_v2,D-A,100,5,p99.9,44608934.54447587,20,False,14959206,14959318,2022-06-14 01:42:43+00:00,2022-06-14 02:10:42+00:00,48415542.4705521,177,171,3,48415542.4705521
