protocol,tx_hash,user,block_number,log_index,collateral_asset,debt_asset,health_factor,measurable,mismatch,cause
aave_v2,0xeae528d15f87693cf09f68e4564d504392d9646e4a0a4a48adc5f834e9a17046,0xe6cb101eba87c46db7bb1e27ad2bd73482837a1c,11492730,95,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,1.1499167531297825,True,True,unexplained
aave_v2,0xb6cc7db15727a04f479be7caa9bff0533e566358f629a4cb32f2cc91c2ddc368,0x48460972346896dff5f9915548d44f2f9ddc53e1,11512479,115,0x514910771af9ca656af840dff83e8264ecf986ca,0x6b175474e89094c44da98b954eedeac495271d0f,1.0672008859673145,True,True,unexplained
aave_v2,0x57f3c80f0c236d247a108144c0d417aa771e591167663430d04aa0862407da71,0xd9de3a844b7f7869f5b3ac578977c681a5c8ce3d,11592732,275,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xdac17f958d2ee523a2206206994597c13d831ec7,1.0902963439745186,True,True,unexplained
aave_v2,0xdaf31243f70ad4f6c6560307ac64c2904cd83908ba7561f5c83aecae5fd128af,0xf39b1b135db1f3da3843afde8314bedf4537ba96,11602499,176,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x514910771af9ca656af840dff83e8264ecf986ca,1.1775329613770835,True,True,unexplained
aave_v2,0xf50891656b79f2e73c6e389524dc58c7ee47bc30f33b1c114295df452bb3152f,0x37aba65fea61ca66cfb421e8a90785c78be31ed1,11629305,150,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.0557257939295204,True,True,unexplained
aave_v2,0x607a72425c34b7c21ee3ecd4ee5ddbb9aea9b3cae26978291151772f1df7226d,0x59655511bc501dec7193f2928aad4dbeea1afbd7,11631114,172,0x514910771af9ca656af840dff83e8264ecf986ca,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.081042286479407,True,True,unexplained
aave_v2,0x62c441eb8ad78a188f364e29cd261f0a5571a9b4c015f3a3a9c6d1e215d8565f,0x31468523e226b9212e12688b7bff7d8b6d3b94bf,11631202,22,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.1602662078526895,True,True,unexplained
aave_v2,0x3a161467c540cc38c9a427ca6eab7a05e056d5321cd08d1e857723d323be4cd4,0x31468523e226b9212e12688b7bff7d8b6d3b94bf,11631232,15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,1.2078335966342306,True,True,unexplained
aave_v2,0x9023ef35b9050673658164ca0a441d1fd45668a3a68ca23f76d401802b049317,0xe6cb101eba87c46db7bb1e27ad2bd73482837a1c,11631303,203,0x0000000000085d4780b73119b644ae5ecd22b376,0x6b175474e89094c44da98b954eedeac495271d0f,1.052996261451558,True,True,unexplained
aave_v2,0xd478eb1e114fa9581c3390c35950740f47cbbc84943599627aa376aeca599eb4,0xecbc3f687d865e040faf7a57e8770aff7c7c2474,11631767,80,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.1190255257621098,True,True,unexplained
aave_v2,0xd04b1748afc1767c708fcb1b27670ea143cb0a1b2af0c10114ad3830c639c1dc,0x60e91e9a950d821dc1d0033e5c764e97295cd317,11632025,185,0x514910771af9ca656af840dff83e8264ecf986ca,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.1362277257480582,True,True,unexplained
aave_v2,0xf67797a0ed54431542fb4096d20ca32fee8cfc3f2dd3ed8a57a25c1bab28d2de,0x027fca5dce8baa10e93ca93d0f2150e7ca4d4107,11669857,151,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd533a949740bb3306d119cc777fa900ba034cd52,1.015126738634015,True,True,unexplained
aave_v2,0xfcb59858ec403c84f1e80d3b0140cbecc54faaa057d6bd56f3dc2ac3e2a7ea56,0x027fca5dce8baa10e93ca93d0f2150e7ca4d4107,11669857,191,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd533a949740bb3306d119cc777fa900ba034cd52,1.0159090223548428,True,True,unexplained
aave_v2,0x6f347755513ca3bf091f9d3d03bc654d2e681fd85c295722b09766e65299e939,0x6c07b538fc627ae1465136f14f0f2e6143eeebf5,11691978,183,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b175474e89094c44da98b954eedeac495271d0f,1.085623824259876,True,True,unexplained
aave_v2,0x9e359fcf3c0ab955e3c8ea17743f49a12bfcff476f1e33331a63d95373c520db,0xbb3ba9442c15503a72cbe06265bdbfa210eebb6e,11700034,125,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1.1523768969188035,True,True,unexplained
aave_v2,0x8868314906731cf16b9ebf90eec023b24fd1869d73690b092d9ae0c1bcc3214b,0x6c07b538fc627ae1465136f14f0f2e6143eeebf5,11701437,104,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0000000000085d4780b73119b644ae5ecd22b376,1.1517638285009437,True,True,unexplained
